# N0,  p0, p0_theo
1.00e+00,4.98e-01,4.76e-01
2.00e+00,7.23e-01,7.25e-01
3.00e+00,8.43e-01,8.56e-01
4.00e+00,9.35e-01,9.24e-01
5.00e+00,9.69e-01,9.60e-01
6.00e+00,9.89e-01,9.79e-01
7.00e+00,9.91e-01,9.89e-01
8.00e+00,9.94e-01,9.94e-01
9.00e+00,9.98e-01,9.97e-01
1.00e+01,9.97e-01,9.98e-01
1.10e+01,1.00e+00,9.99e-01
1.20e+01,1.00e+00,1.00e+00
1.30e+01,1.00e+00,1.00e+00
1.40e+01,1.00e+00,1.00e+00
1.50e+01,1.00e+00,1.00e+00
1.60e+01,1.00e+00,1.00e+00
1.70e+01,1.00e+00,1.00e+00
1.80e+01,1.00e+00,1.00e+00
1.90e+01,1.00e+00,1.00e+00
2.00e+01,1.00e+00,1.00e+00
2.10e+01,1.00e+00,1.00e+00
2.20e+01,1.00e+00,1.00e+00
2.30e+01,1.00e+00,1.00e+00
2.40e+01,1.00e+00,1.00e+00
2.50e+01,1.00e+00,1.00e+00
2.60e+01,1.00e+00,1.00e+00
2.70e+01,1.00e+00,1.00e+00
2.80e+01,1.00e+00,1.00e+00
2.90e+01,1.00e+00,1.00e+00
3.00e+01,1.00e+00,1.00e+00
3.10e+01,1.00e+00,1.00e+00
3.20e+01,1.00e+00,1.00e+00
3.30e+01,1.00e+00,1.00e+00
3.40e+01,1.00e+00,1.00e+00
3.50e+01,1.00e+00,1.00e+00
3.60e+01,1.00e+00,1.00e+00
3.70e+01,1.00e+00,1.00e+00
3.80e+01,1.00e+00,1.00e+00
3.90e+01,1.00e+00,1.00e+00
4.00e+01,1.00e+00,1.00e+00
4.10e+01,1.00e+00,1.00e+00
4.20e+01,1.00e+00,1.00e+00
4.30e+01,1.00e+00,1.00e+00
4.40e+01,1.00e+00,1.00e+00
4.50e+01,1.00e+00,1.00e+00
4.60e+01,1.00e+00,1.00e+00
4.70e+01,1.00e+00,1.00e+00
4.80e+01,1.00e+00,1.00e+00
4.90e+01,1.00e+00,1.00e+00
5.00e+01,1.00e+00,1.00e+00
