# N0,  p0, p0_theo
1.00e+00,1.69e-01,1.64e-01
2.00e+00,3.09e-01,3.01e-01
3.00e+00,4.20e-01,4.16e-01
4.00e+00,5.34e-01,5.12e-01
5.00e+00,5.94e-01,5.92e-01
6.00e+00,6.57e-01,6.59e-01
7.00e+00,6.98e-01,7.15e-01
8.00e+00,7.43e-01,7.61e-01
9.00e+00,8.08e-01,8.01e-01
1.00e+01,8.31e-01,8.33e-01
1.10e+01,8.54e-01,8.61e-01
1.20e+01,8.74e-01,8.83e-01
1.30e+01,8.97e-01,9.03e-01
1.40e+01,9.09e-01,9.19e-01
1.50e+01,9.32e-01,9.32e-01
1.60e+01,9.56e-01,9.43e-01
1.70e+01,9.53e-01,9.52e-01
1.80e+01,9.53e-01,9.60e-01
1.90e+01,9.70e-01,9.67e-01
2.00e+01,9.81e-01,9.72e-01
2.10e+01,9.81e-01,9.77e-01
2.20e+01,9.76e-01,9.81e-01
2.30e+01,9.78e-01,9.84e-01
2.40e+01,9.76e-01,9.86e-01
2.50e+01,9.93e-01,9.89e-01
2.60e+01,9.88e-01,9.91e-01
2.70e+01,9.92e-01,9.92e-01
2.80e+01,9.94e-01,9.93e-01
2.90e+01,9.94e-01,9.94e-01
3.00e+01,9.96e-01,9.95e-01
3.10e+01,9.97e-01,9.96e-01
3.20e+01,9.99e-01,9.97e-01
3.30e+01,9.98e-01,9.97e-01
3.40e+01,9.99e-01,9.98e-01
3.50e+01,9.98e-01,9.98e-01
3.60e+01,1.00e+00,9.98e-01
3.70e+01,1.00e+00,9.99e-01
3.80e+01,9.99e-01,9.99e-01
3.90e+01,9.99e-01,9.99e-01
4.00e+01,9.99e-01,9.99e-01
4.10e+01,1.00e+00,9.99e-01
4.20e+01,9.99e-01,9.99e-01
4.30e+01,1.00e+00,1.00e+00
4.40e+01,1.00e+00,1.00e+00
4.50e+01,1.00e+00,1.00e+00
4.60e+01,9.99e-01,1.00e+00
4.70e+01,1.00e+00,1.00e+00
4.80e+01,1.00e+00,1.00e+00
4.90e+01,1.00e+00,1.00e+00
5.00e+01,1.00e+00,1.00e+00
